run_name,run_id,domain_name,finetune_strategy,pretrained_scheme,seed,task_type,run_state,accuracy,f1,precision,recall,auc,loss,convergence_epochs,training_time,total_parameters,trainable_parameters
CiteSeer_NC_linear_probe_b3_84,58ils3cu,CiteSeer_NC,linear_probe,b3,84,node_classification,finished,0.36,0.3597043079667374,0.49760690008651304,0.3768860408668632,0.7278704961427547,1.616767168045044,146,19.275708436965942,2272523,950278
Cora_NC_linear_probe_b2_84,3wlazggj,Cora_NC,linear_probe,b2,84,node_classification,finished,0.426,0.4514136850807754,0.500399863268316,0.4824984263134211,0.8222681426836187,1.5574167966842651,139,21.3418447971344,1691660,369415
CiteSeer_NC_linear_probe_b3_126,0ns514dd,CiteSeer_NC,linear_probe,b3,126,node_classification,finished,0.373,0.35591918594261246,0.5152441760292031,0.36928076365363866,0.7423081667591059,1.601722002029419,200,20.470123291015625,2272523,950278
Cora_NC_linear_probe_b2_126,qqc42tei,Cora_NC,linear_probe,b2,126,node_classification,finished,0.47,0.4830058409934098,0.5324989073844817,0.5144734429234691,0.8151388573813996,1.5848971605300903,132,26.517990350723267,1691660,369415
CiteSeer_NC_linear_probe_b4_42,merzc2q3,CiteSeer_NC,linear_probe,b4,42,node_classification,finished,0.429,0.4086393449934784,0.5104021622474347,0.41198831891298954,0.7281159743383343,1.6119121313095093,124,22.1753613948822,2272523,950278
CiteSeer_NC_linear_probe_b4_84,2cv51w8o,CiteSeer_NC,linear_probe,b4,84,node_classification,finished,0.378,0.3666783373033274,0.44925942438749966,0.37234269779424906,0.7109808855259021,1.607550859451294,194,26.64008736610413,2272523,950278
Cora_NC_linear_probe_b3_42,yvfxir2o,Cora_NC,linear_probe,b3,42,node_classification,finished,0.421,0.4541514949423825,0.5593962963860923,0.4997633357189396,0.8232294195891088,1.6341379880905151,137,24.490198373794556,1691660,369415
Cora_NC_linear_probe_b3_84,ll4citi3,Cora_NC,linear_probe,b3,84,node_classification,finished,0.45,0.47203813711680137,0.5218081632690575,0.5097365721875292,0.8203516027212395,1.615220546722412,150,22.123948097229004,1691660,369415
CiteSeer_NC_linear_probe_b4_126,i6zs1dug,CiteSeer_NC,linear_probe,b4,126,node_classification,finished,0.357,0.3537664402842062,0.41781325629687166,0.35340433416161204,0.7107044743630961,1.6117842197418213,197,26.59028959274292,2272523,950278
Cora_NC_linear_probe_b3_126,nj67o0uu,Cora_NC,linear_probe,b3,126,node_classification,finished,0.465,0.484621774616284,0.5232375718580611,0.5343500565012523,0.8187582714486451,1.6218653917312622,138,25.859524965286255,1691660,369415
