domain,scheme,task_type,linear_performance,full_performance,absolute_difference,relative_difference_pct,better_strategy,linear_training_time,full_training_time,time_ratio,linear_epochs,full_epochs,linear_trainable_params,full_trainable_params,param_ratio,linear_perf_per_param,full_perf_per_param
Cora_LP,s2,link_prediction,0.0834911616161616,0.0831416847041847,-0.0003494769119768981,-0.41857953011070453,linear_probe,148.45964495340982,167.31234606107077,1.1269887255461064,1.0,1.0,564737.0,1886982.0,3.341346502885414,1.478407853853415e-07,4.406066655865541e-08
Cora_LP,s3,link_prediction,0.0854386498917749,0.0832318722943722,-0.00220677759740269,-2.582879762493923,linear_probe,196.2400337060293,169.0993189016978,0.8616963404878502,93.66666666666669,2.333333333333333,564737.0,1886982.0,3.341346502885414,1.5128927251406388e-07,4.4108461180007126e-08
Cora_LP,s4,link_prediction,0.0809997294372294,0.0839082792207792,0.0029085497835498048,3.5908141962421993,full_finetune,147.87616872787476,224.2558467388153,1.51651106914662,1.3333333333333333,53.333333333333336,564737.0,1886982.0,3.341346502885414,1.434291173364405e-07,4.4466920840145376e-08
Cora_LP,s5,link_prediction,0.0797568317099567,0.080241590007215,0.00048475829725828923,0.6077953284568259,full_finetune,168.40483554204306,184.50930070877075,1.0956294699905285,21.666666666666668,17.666666666666668,564737.0,1886982.0,3.341346502885414,1.4122827388670602e-07,4.2523770765812814e-08
Cora_LP,b4,link_prediction,0.081253382034632,0.0870676632395382,0.005814281204906194,7.155740548040225,full_finetune,155.44662110010782,200.25809144973755,1.2882756153366055,9.0,32.333333333333336,564737.0,1886982.0,3.341346502885414,1.4387826906087613e-07,4.614122616937427e-08
CiteSeer_LP,b1,link_prediction,0.09664464519913,0.0933109226660005,-0.00333372253312951,-3.4494642990934383,linear_probe,166.17271955808005,188.46131682395932,1.1341290996810645,40.333333333333336,37.333333333333336,1145857.0,2468102.0,2.153935438715302,8.434267556870535e-08,3.7806752989139224e-08
CiteSeer_LP,b2,link_prediction,0.1047284154771182,0.0941972120622973,-0.010531203414820903,-10.055726869200875,linear_probe,226.68478473027548,202.63994908332825,0.89392832132268,196.66666666666663,87.33333333333333,1145857.0,2468102.0,2.153935438715302,9.139745664347139e-08,3.816585054519517e-08
CiteSeer_LP,b3,link_prediction,0.1131220974067527,0.0904579976485091,-0.0226640997582436,-20.03507738788681,linear_probe,268.1852954228719,211.3435701529185,0.7880505522112018,242.0,56.66666666666666,1145857.0,2468102.0,2.153935438715302,9.872270048247967e-08,3.665083438549505e-08
CiteSeer_LP,s1,link_prediction,0.1064676860080863,0.0813532567424339,-0.025114429265652397,-23.588780978807915,linear_probe,269.22160418828327,236.0917043685913,0.8769418972909686,259.6666666666667,89.66666666666667,1145857.0,2468102.0,2.153935438715302,9.291533411942878e-08,3.296186978594641e-08
CiteSeer_LP,s2,link_prediction,0.1118752098737273,0.0955078197479976,-0.0163673901257297,-14.630041940661787,linear_probe,267.1241949399312,222.52111570040384,0.8330249371474667,282.0,118.0,1145857.0,2468102.0,2.153935438715302,9.763453020204728e-08,3.869686899001646e-08
CiteSeer_LP,s3,link_prediction,0.1029920413167262,0.0894297860939817,-0.013562255222744499,-13.168255575241183,linear_probe,224.3068188826243,244.2547946770986,1.0889316512705427,194.66666666666663,109.66666666666669,1145857.0,2468102.0,2.153935438715302,8.988210685689941e-08,3.623423427961312e-08
CiteSeer_LP,s4,link_prediction,0.0986402445260858,0.0921740972148681,-0.006466147311217696,-6.555283132441645,linear_probe,226.00321253140768,196.829199552536,0.8709132819303737,190.66666666666663,65.0,1145857.0,2468102.0,2.153935438715302,8.608425355527418e-08,3.734614582981907e-08
CiteSeer_LP,s5,link_prediction,0.0977582996856532,0.0890054678045782,-0.008752831881074993,-8.953543493718866,linear_probe,228.9040497938792,176.68097734451294,0.7718560571715901,191.66666666666663,29.666666666666668,1145857.0,2468102.0,2.153935438715302,8.531457213740737e-08,3.606231339084778e-08
CiteSeer_LP,b4,link_prediction,0.0941624556153837,0.0917208152197032,-0.002441640395680497,-2.593008412666754,linear_probe,136.59181634585062,194.74640186627707,1.4257545369568774,5.0,43.333333333333336,1145857.0,2468102.0,2.153935438715302,8.217644576538233e-08,3.716248972680351e-08
