domain,strategy,scheme,task_type,baseline_value,pretrained_value,improvement_percent,primary_metric
PTC_MR,full_finetune,s4,graph_classification,0.5047619047619047,0.4857142857142857,-3.773584905660375,accuracy
PTC_MR,full_finetune,s5,graph_classification,0.5047619047619047,0.5428571428571428,7.54716981132075,accuracy
PTC_MR,full_finetune,b4,graph_classification,0.5047619047619047,0.5047619047619047,0.0,accuracy
PTC_MR,linear_probe,b2,graph_classification,0.5523809523809523,0.5619047619047619,1.7241379310344969,accuracy
PTC_MR,linear_probe,b3,graph_classification,0.5523809523809523,0.4952380952380952,-10.344827586206891,accuracy
PTC_MR,linear_probe,s1,graph_classification,0.5523809523809523,0.6476190476190476,17.241379310344847,accuracy
PTC_MR,linear_probe,s2,graph_classification,0.5523809523809523,0.5333333333333333,-3.4482758620689538,accuracy
PTC_MR,linear_probe,s3,graph_classification,0.5523809523809523,0.5142857142857142,-6.896551724137928,accuracy
PTC_MR,linear_probe,s4,graph_classification,0.5523809523809523,0.4952380952380952,-10.344827586206891,accuracy
PTC_MR,linear_probe,s5,graph_classification,0.5523809523809523,0.4095238095238095,-25.86206896551723,accuracy
PTC_MR,linear_probe,b4,graph_classification,0.5523809523809523,0.5523809523809523,0.0,accuracy
