domain,strategy,scheme,task_count,task_type,tasks,baseline_performance,scheme_performance,improvement_pct,mean_std,mean_sem
ENZYMES,full_finetune,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.6666666666666666,0.6611111111111111,-0.8333333333333304,0.0096225044864937,0.0055555555555555
PTC_MR,linear_probe,b2,1,single,node_feat_mask,0.5523809523809523,0.5619047619047619,1.7241379310344969,0.0164957219768464,0.0095238095238095
PTC_MR,linear_probe,b3,1,single,node_contrast,0.5523809523809523,0.4952380952380952,-10.344827586206891,0.0329914439536928,0.019047619047619
PTC_MR,linear_probe,s1,2,generative,"node_feat_mask, link_pred",0.5523809523809523,0.6476190476190476,17.241379310344847,0.059476171413318,0.0343385835758475
PTC_MR,linear_probe,s2,2,contrastive,"node_contrast, graph_contrast",0.5523809523809523,0.5333333333333333,-3.4482758620689538,0.059476171413318,0.0343385835758475
PTC_MR,linear_probe,s3,4,combined,"node_feat_mask, link_pred, node_contrast, graph_contrast",0.5523809523809523,0.5142857142857142,-6.896551724137928,0.0285714285714285,0.0164957219768464
PTC_MR,linear_probe,s4,5,cross_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.5523809523809523,0.4952380952380952,-10.344827586206891,0.0436435780471984,0.0251976315339484
PTC_MR,linear_probe,s5,6,full_adv,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop, domain_adv",0.5523809523809523,0.4095238095238095,-25.86206896551723,0.0436435780471984,0.0251976315339484
PTC_MR,linear_probe,b4,5,single_domain,"node_feat_mask, link_pred, node_contrast, graph_contrast, graph_prop",0.5523809523809523,0.5523809523809523,0.0,0.0164957219768464,0.0095238095238095
PTC_MR,full_finetune,b2,1,single,node_feat_mask,0.5047619047619047,0.5619047619047618,11.320754716981114,0.0329914439536929,0.019047619047619
PTC_MR,full_finetune,b3,1,single,node_contrast,0.5047619047619047,0.5428571428571428,7.54716981132075,0.0755928946018454,0.0436435780471984
